ATP,Aitape,PG,TAJ,Aitape (Tadji),Tadji
AIT,Aitutaki,CK,AIT,Aitutaki,
AYU,Aiyura,PG,AYU,Aiyura,
AJL,Aizawl,IN,AJL,Aizawl,
AJA,Ajaccio,FR,AJA,Ajaccio (Campo Dell Oro),Campo Dell Oro
AKK,Akhiok,US,AKK,Akhiok (Sea Plane Base),Sea Plane Base
KKI,Akiachak,US,KKI,Akiachak (Sea Plane Base),Sea Plane Base
AKI,Akiak,US,AKI,Akiak,
AKE,Akieni,GA,AKE,Akieni,
AXT,Akita,JP,AXT,Akita,
AJJ,Akjoujt,MR,AJJ,Akjoujt,
LAK,Aklavik,CA,LAK,Aklavik,
AKD,Akola,IN,AKD,Akola,
AKO,Akron,US,AKO,Akron (Washington Co),Washington Co
CAK,Akron/Canton,US,CAK,Akron/Canton (Akron/Canton Regional),Akron/Canton Regional
CAK,Akron/Canton,US,AKC,Akron/Canton (Fulton International),Fulton International
AKT,Akrotiri,CY,AKT,Akrotiri (RAF),RAF
AKU,Aksu,CN,AKU,Aksu,
SCO,Aktau,KZ,SCO,Aktau,
AKX,Aktyubinsk,KZ,AKX,Aktyubinsk,
AKV,Akulivik,CA,AKV,Akulivik,
AKR,Akure,NG,AKR,Akure,
AEY,Akureyri,IS,AEY,Akureyri,
KQA,Akutan,US,KQA,Akutan,
AAN,Al Ain,AE,AAN,Al Ain,
AAC,Al Arish,EG,AAC,Al Arish,
AAY,Al Ghaydah,YE,AAY,Al Ghaydah,
AHU,Al Hoceima,MA,AHU,Al Hoceima (Charif Al Idrissi),Charif Al Idrissi
AKH,Al Kharj,SA,AKH,Al Kharj (Prince Sultan Air Base),Prince Sultan Air Base
WWG,Al Koude,OM,WWG,Al Koude,
SOR,Al Thaurah,SY,SOR,Al Thaurah,
AAV,Alah,PH,AAV,Alah,
HOF,Alahsa,SA,HOF,Alahsa,
AUK,Alakanuk,US,AUK,Alakanuk,
NGZ,Alameda,US,NGZ,Alameda (NAS),NAS
ALM,Alamogordo,US,HMN,Alamogordo (Holloman AFB),Holloman AFB
ALM,Alamogordo,US,ALM,Alamogordo (Municipal),Municipal
XAL,Alamos,MX,XAL,Alamos,
ALS,Alamosa,US,ALS,Alamosa (Municipal),Municipal
ABC,Albacete,ES,ABC,Albacete (Los Llanos),Los Llanos
ABT,Al-Baha,SA,ABT,Al-Baha (Al-Aqiq),Al-Aqiq
ABY,Albany,US,ABY,Albany (Dougherty County),Dougherty County
ABY,Albany,US,NAB,Albany (NAS),NAS
ALB,Albany,US,ALB,Albany (International),International
CVO,Albany,US,CVO,Albany,
ALH,Albany,AU,ALH,Albany,
ALL,Albenga,IT,ALL,Albenga,
AEL,Albert Lea,US,AEL,Albert Lea,
LBI,Albi,FR,LBI,Albi (Le Sequestre),Le Sequestre
ABN,Albina,SR,ABN,Albina,
BUK,Albuq,YE,BUK,Albuq,
ABQ,Albuquerque,US,ABQ,Albuquerque (International),International
ABX,Albury,AU,ABX,Albury,
AYH,Alconbury,GB,AYH,Alconbury (RAF Station),RAF Station
ADH,Aldan,RU,ADH,Aldan,
ACI,Alderney,GB,ACI,Alderney (The Blaye),The Blaye
LEG,Aleg,MR,LEG,Aleg,
ALQ,Alegrete,BR,ALQ,Alegrete (Federal),Federal
WKK,Aleknagik,US,WKK,Aleknagik,
AED,Aleneva,US,AED,Aleneva,
ALT,Alenquer,BR,ALT,Alenquer,
ALP,Aleppo,SY,ALP,Aleppo (Nejrab),Nejrab
YLT,Alert,CA,YLT,Alert,
YAL,Alert Bay,CA,YAL,Alert Bay,
ALD,Alerta,PE,ALD,Alerta,
ALJ,Alexander Bay,ZA,ALJ,Alexander Bay (Kortdoorn),Kortdoorn
ALX,Alexander City,US,ALX,Alexander City (Thomas C Russell Field),Thomas C Russell Field
ALR,Alexandra,NZ,ALR,Alexandra,
ALY,Alexandria,EG,HBE,Alexandria (Borg El Arab),Borg El Arab
ALY,Alexandria,EG,ALY,Alexandria (El Nohza),El Nohza
AEX,Alexandria,US,ESF,Alexandria (Esler Field),Esler Field
AEX,Alexandria,US,AEX,Alexandria (International),International
AXN,Alexandria,US,AXN,Alexandria,
AXL,Alexandria,AU,AXL,Alexandria,
AXB,Alexandria Bay,US,AXB,Alexandria Bay,
AXD,Alexandroupolis,GR,AXD,Alexandroupolis (Demokritos),Demokritos
FJR,Al-Fujairah,AE,FJR,Al-Fujairah (Fujairah International),Fujairah International
AEI,Algeciras,ES,AEI,Algeciras,
AHO,Alghero,IT,AHO,Alghero (Fertilia),Fertilia
ALG,Algiers,DZ,ALG,Algiers (Houari Boumediene),Houari Boumediene
AXG,Algona,US,AXG,Algona,
ALC,Alicante,ES,ALC,Alicante,
ALI,Alice,US,ALI,Alice (International),International
ZAA,Alice Arm,CA,ZAA,Alice Arm,
ASP,Alice Springs,AU,ASP,Alice Springs,
AIV,Aliceville,US,AIV,Aliceville (George Downer),George Downer
AII,Alisabieh,DJ,AII,Alisabieh,
ALZ,Alitak,US,ALZ,Alitak (Sea Plane Base),Sea Plane Base
AJO,Aljouf,YE,AJO,Aljouf,
IXD,Allahabad,IN,IXD,Allahabad (Bamrauli),Bamrauli
AET,Allakaket,US,AET,Allakaket,
ADY,Alldays,ZA,ADY,Alldays,
ABE,Allentown,US,ABE,Allentown (Lehigh Valley Intl),Lehigh Valley Intl
AIA,Alliance,US,AIA,Alliance,
LLU,Alluitsup Paa,GL,LLU,Alluitsup Paa,
AMN,Alma,US,AMN,Alma (Gratiot Community),Gratiot Community
YTF,Alma,CA,YTF,Alma,
ALA,Almaty,KZ,ALA,Almaty,
AMJ,Almenara,BR,AMJ,Almenara,
LEI,Almeria,ES,LEI,Almeria,
IXV,Along,IN,IXV,Along,
ARD,Alor Island,ID,ARD,Alor Island,
AOR,Alor Setar,MY,AOR,Alor Setar,
GUR,Alotau,PG,GUR,Alotau (Gurney),Gurney
AWE,Alowe,GA,AWE,Alowe,
AHZ,Alpe D Huez,FR,AHZ,Alpe D Huez,
APN,Alpena,US,APN,Alpena (County Regional),County Regional
ABH,Alpha,AU,ABH,Alpha,
ALE,Alpine,US,ALE,Alpine,
AYD,Alroy Downs,AU,AYD,Alroy Downs,
ALF,Alta,NO,ALF,Alta,
AFL,Alta Floresta,BR,AFL,Alta Floresta,
YAE,Alta Lake,CA,YAE,Alta Lake,
LTI,Altai,MN,LTI,Altai,
ATM,Altamira,BR,ATM,Altamira,
AAT,Altay,CN,AAT,Altay,
AOC,Altenburg,DE,AOC,Altenburg (Nobitz),Nobitz
ACH,Altenrhein,CH,ACH,Altenrhein,
AME,Alto Molocue,MZ,AME,Alto Molocue,
WAP,Alto Palena,CL,WAP,Alto Palena,
APY,Alto Parnaiba,BR,APY,Alto Parnaiba,
ARR,Alto Rio Senguerr,AR,ARR,Alto Rio Senguerr,
ALN,Alton,US,ALN,Alton,
AWN,Alton Downs,AU,AWN,Alton Downs,
AOO,Altoona,US,AOO,Altoona,
LTS,Altus,US,LTS,Altus (AFB),AFB
LTS,Altus,US,AXS,Altus (Municipal),Municipal
ALU,Alula,SO,ALU,Alula,
XXA,Alvesta,SE,XXA,Alvesta,
AQY,Alyeska,US,AQY,Alyeska,
AMC,Am Timan,TD,AMC,Am Timan,
AMF,Ama,PG,AMF,Ama,
AHI,Amahai,ID,AHI,Amahai,
AFI,Amalfi,CO,AFI,Amalfi,
ASJ,Amami O Shima,JP,ASJ,Amami O Shima,
AMU,Amanab,PG,AMU,Amanab,
AMA,Amarillo,US,AMA,Amarillo (International),International
AMA,Amarillo,US,TDW,Amarillo (Tradewind),Tradewind
AMT,Amata,AU,AMT,Amata,
AZB,Amazon Bay,PG,AZB,Amazon Bay,
IVA,Ambanja,MG,IVA,Ambanja,
ATF,Ambato,EC,ATF,Ambato (Chachoan),Chachoan
AHY,Ambatolahy,MG,AHY,Ambatolahy,
AMY,Ambatomainty,MG,AMY,Ambatomainty,
WAM,Ambatondrazaka,MG,WAM,Ambatondrazaka,
AMB,Ambilobe,MG,AMB,Ambilobe,
ABL,Ambler,US,ABL,Ambler,
AMG,Amboin,PG,AMG,Amboin,
AMQ,Ambon,ID,AMQ,Ambon (Pattimura),Pattimura
ASV,Amboseli,KE,ASV,Amboseli,
AZZ,Ambriz,AO,AZZ,Ambriz,
AUJ,Ambunti,PG,AUJ,Ambunti,
AHT,Amchitka,US,AHT,Amchitka,
AMV,Amderma,RU,AMV,Amderma,
RCN,American River,AU,RCN,American River,
AHH,Amery,US,AHH,Amery (Municipal),Municipal
AMW,Ames,US,AMW,Ames,
AYZ,Amityville,US,AYZ,Amityville (Zahns),Zahns
AMM,Amman,JO,ADJ,Amman (Civil - Marka Airport),Civil - Marka Airport
AMM,Amman,JO,AMM,Amman (Queen Alia Intl),Queen Alia Intl
AMX,Ammaroo,AU,AMX,Ammaroo,
AOS,Amook,US,AOS,Amook,
YEY,Amos,CA,YEY,Amos,
AMP,Ampanihy,MG,AMP,Ampanihy,
ADP,Ampara,LK,ADP,Ampara,
ADP,Ampara,LK,AFK,Ampara (Kondavattavan Tank),Kondavattavan Tank
ATQ,Amritsar,IN,ATQ,Amritsar (Raja Sansi),Raja Sansi
AMS,Amsterdam,NL,AMS,Amsterdam (Amsterdam-Schiphol),Amsterdam-Schiphol
AVA,An Shun,CN,AVA,An Shun (An Shun/Huang Guo Shu),An Shun/Huang Guo Shu
AAA,Anaa,PF,AAA,Anaa,
AAO,Anaco,VE,AAO,Anaco,
OTS,Anacortes,US,OTS,Anacortes,
DYR,Anadyr,RU,DYR,Anadyr,
ANA,Anaheim,US,ANA,Anaheim,
YAA,Anahim Lake,CA,YAA,Anahim Lake,
AKP,Anaktuvuk,US,AKP,Anaktuvuk,
HVA,Analalava,MG,HVA,Analalava,
AAQ,Anapa,RU,AAQ,Anapa,
APS,Anapolis,BR,APS,Anapolis,
ANC,Anchorage,US,EDF,Anchorage (Elmendorf AFB),Elmendorf AFB
ANC,Anchorage,US,ANC,Anchorage (International),International
ANC,Anchorage,US,MRI,Anchorage (Merrill Field),Merrill Field
AOI,Ancona,IT,AOI,Ancona (Falconara),Falconara
ZUD,Ancud,CL,ZUD,Ancud,
ANS,Andahuaylas,PE,ANS,Andahuaylas,
ADC,Andakombe,PG,ADC,Andakombe,
ADO,Andamooka,AU,ADO,Andamooka,
ZWA,Andapa,MG,ZWA,Andapa,
ANX,Andenes,NO,ANX,Andenes,
AID,Anderson,US,AID,Anderson (Municipal),Municipal
AND,Anderson,US,AND,Anderson,
ADN,Andes,CO,ADN,Andes,
AZN,Andizhan,UZ,AZN,Andizhan,
ADV,Andover,GB,ADV,Andover,
ADR,Andrews,US,ADR,Andrews,
WAD,Andriamena,MG,WAD,Andriamena,
ASD,Andros Town,BS,ASD,Andros Town,
ANL,Andulo,AO,ANL,Andulo,
NGD,Anegada,VG,NGD,Anegada,
AUY,Aneityum,VU,AUY,Aneityum,
AXX,Angel Fire,US,AXX,Angel Fire,
AGH,Angelholm/Helsingborg,SE,AGH,Angelholm/Helsingborg (Angelholm),Angelholm
ANE,Angers,FR,ANE,Angers (Marce),Marce
AGD,Anggi,ID,AGD,Anggi,
VLY,Anglesey,GB,VLY,Anglesey,
YAX,Angling Lake,CA,YAX,Angling Lake,
ANO,Angoche,MZ,ANO,Angoche,
ANQ,Angola,US,ANQ,Angola (Tri-State Steuben Cty),Tri-State Steuben Cty
AGN,Angoon,US,AGN,Angoon,
AGG,Angoram,PG,AGG,Angoram,
ANG,Angouleme,FR,ANG,Angouleme (Brie-Champniers),Brie-Champniers
AKG,Anguganak,PG,AKG,Anguganak,
AXA,Anguilla,AI,AXA,Anguilla (Wallblake),Wallblake
RFK,Anguilla,US,RFK,Anguilla (Rollang Field),Rollang Field
ANZ,Angus Downs,AU,ANZ,Angus Downs,
ANI,Aniak,US,ANI,Aniak,
AIB,Anita Bay,US,AIB,Anita Bay,
AWD,Aniwa,VU,AWD,Aniwa,
AJN,Anjouan,KM,AJN,Anjouan (Ouani),Ouani
AKA,Ankang,CN,AKA,Ankang,
ANK,Ankara,TR,ESB,Ankara (Esenboga),Esenboga
ANK,Ankara,TR,ANK,Ankara (Etimesgut),Etimesgut
JVA,Ankavandra,MG,JVA,Ankavandra,
WAK,Ankazoabo,MG,WAK,Ankazoabo,
NKO,Ankokoambo,MG,NKO,Ankokoambo,
WOR,Ankorefo,MG,WOR,Ankorefo (Moramba),Moramba
ARB,Ann Arbor,US,ARB,Ann Arbor (Municipal),Municipal
AAE,Annaba,DZ,AAE,Annaba (Les Salines),Les Salines
NAI,Annai,GY,NAI,Annai,
AOB,Annanberg,PG,AOB,Annanberg,
ANP,Annapolis,US,ANP,Annapolis (Lee),Lee
NCY,Annecy,FR,NCY,Annecy (Annecy-Meythe),Annecy-Meythe
ANN,Annette Island,US,ANN,Annette Island,
ANB,Anniston,US,ANB,Anniston (County),County
ANB,Anniston,US,RLI,Anniston (Reilly AHP),Reilly AHP
AQG,Anqing,CN,AQG,Anqing,
AOG,Anshan,CN,AOG,Anshan,
ATA,Anta,PE,ATA,Anta,
ANM,Antalaha,MG,ANM,Antalaha (Antsirabato),Antsirabato
AYT,Antalya,TR,AYT,Antalya,
TNR,Antananarivo,MG,TNR,Antananarivo,
ANY,Anthony,US,ANY,Anthony,
AYL,Anthony Lagoon,AU,AYL,Anthony Lagoon,
ANU,Antigua,AG,ANU,Antigua (V.C. Bird Intl),V.C. Bird Intl
EUQ,Antique,PH,EUQ,Antique (Evelio Javier),Evelio Javier
ATE,Antlers,US,ATE,Antlers,
ANF,Antofagasta,CL,ANF,Antofagasta (Cerro Moreno),Cerro Moreno
WAQ,Antsalova,MG,WAQ,Antsalova,
ATJ,Antsirabe,MG,ATJ,Antsirabe,
DIE,Antsiranana,MG,DIE,Antsiranana (Antsiranana/Arrachart),Antsiranana/Arrachart
WAI,Antsohihy,MG,WAI,Antsohihy,
ANH,Anuha Island Resort,SB,ANH,Anuha Island Resort,
ACJ,Anuradhapura,LK,ACJ,Anuradhapura,
ANV,Anvik,US,ANV,Anvik,
AYN,Anyang,CN,AYN,Anyang,
AOJ,Aomori,JP,AOJ,Aomori,
AOT,Aosta,IT,AOT,Aosta (Corrado Gex),Corrado Gex
AAF,Apalachicola,US,AAF,Apalachicola (Municipal),Municipal
AAS,Apalapsili,ID,AAS,Apalapsili,
APO,Apartado,CO,APO,Apartado,
APK,Apataki,PF,APK,Apataki,
AZG,Apatzingan,MX,AZG,Apatzingan,
APW,Apia,WS,FGI,Apia (Fagali I),Fagali I
APW,Apia,WS,APW,Apia (Faleolo),Faleolo
API,Apiay,CO,API,Apiay,
APB,Apolo,BO,APB,Apolo,
APV,Apple Valley,US,APV,Apple Valley,
ATW,Appleton,US,ATW,Appleton (Outagamie County),Outagamie County
APR,April River,PG,APR,April River,
APU,Apucarana,BR,APU,Apucarana,
AQJ,Aqaba,JO,AQJ,Aqaba (King Hussein Intl),King Hussein Intl
AJK,Araak,IR,AJK,Araak,
AJU,Aracaju,BR,AJU,Aracaju,
ARU,Aracatuba,BR,ARU,Aracatuba,
ARW,Arad,RO,ARW,Arad,
ARS,Aragarcas,BR,ARS,Aragarcas,
ARP,Aragip,PG,ARP,Aragip,
AUX,Araguaina,BR,AUX,Araguaina,
AXC,Aramac,AU,AXC,Aramac,
ADI,Arandis,NA,ADI,Arandis,
AAK,Aranuka,KI,AAK,Aranuka,
AHF,Arapahoe,US,AHF,Arapahoe (Municipal),Municipal
APQ,Arapiraca,BR,APQ,Arapiraca,
APX,Arapongas,BR,APX,Arapongas,
AAG,Arapoti,BR,AAG,Arapoti,
RAE,Arar,SA,RAE,Arar,
ACR,Araracuara,CO,ACR,Araracuara,
AQA,Araraquara,BR,AQA,Araraquara,
ARY,Ararat,AU,ARY,Ararat,
RKA,Aratika,PF,RKA,Aratika,
AUC,Arauca,CO,AUC,Arauca,
ARQ,Arauquita,CO,ARQ,Arauquita,
RAW,Arawa,PG,RAW,Arawa,
AAX,Araxa,BR,AAX,Araxa,
AMH,Arba Mintch,ET,AMH,Arba Mintch,
ARO,Arboletas,CO,ARO,Arboletas,
ACV,Arcata,US,ACV,Arcata,
YAB,Arctic Bay,CA,YAB,Arctic Bay,
ARC,Arctic Village,US,ARC,Arctic Village,
ADU,Ardabil,IR,ADU,Ardabil,
AMZ,Ardmore,NZ,AMZ,Ardmore,
ADM,Ardmore,US,AHD,Ardmore (Downtown),Downtown
ADM,Ardmore,US,ADM,Ardmore (Municipal),Municipal
ARE,Arecibo,PR,ARE,Arecibo,
AQP,Arequipa,PE,AQP,Arequipa (Rodriguez Ballon),Rodriguez Ballon
NWP,Argentia,CA,NWP,Argentia (NS),NS
GYL,Argyle,AU,GYL,Argyle,
AGY,Argyle Downs,AU,AGY,Argyle Downs,
XAR,Aribinda,BF,XAR,Aribinda,
ARI,Arica,CL,ARI,Arica (Chacalluta),Chacalluta
ACM,Arica,CO,ACM,Arica,
AIR,Aripuana,BR,AIR,Aripuana,
AQM,Ariquemes,BR,AQM,Ariquemes,
AYK,Arkalyk,KZ,AYK,Arkalyk,
ARH,Arkhangelsk,RU,ARH,Arkhangelsk,
RLT,Arlit,NE,RLT,Arlit,
ARL,Arly,BF,ARL,Arly,
AXM,Armenia,CO,AXM,Armenia (El Eden),El Eden
ARM,Armidale,AU,ARM,Armidale,
YYW,Armstrong,CA,YYW,Armstrong,
YNR,Arnes,CA,YNR,Arnes,
AMR,Arno,MH,AMR,Arno,
AOA,Aroa,PG,AOA,Aroa,
AON,Arona,PG,AON,Arona,
RNA,Arona,SB,RNA,Arona (Ulawa),Ulawa
AIS,Arorae Island,KI,AIS,Arorae Island,
AAB,Arrabury,AU,AAB,Arrabury,
AAI,Arraias,BR,AAI,Arraias,
ARJ,Arso,ID,ARJ,Arso,
JRK,Arsuk,GL,JRK,Arsuk,
ATS,Artesia,US,ATS,Artesia,
ATC,Arthur's Town,BS,ATC,Arthur's Town,
ATI,Artigas,UY,ATI,Artigas,
RUA,Arua,UG,RUA,Arua,
AUA,Aruba,AW,AUA,Aruba (Reina Beatrix),Reina Beatrix
ZFU,Aruja,BR,ZFU,Aruja,
ARK,Arusha,TZ,ARK,Arusha,
AXR,Arutua,PF,AXR,Arutua,
AVK,Arvaikheer,MN,AVK,Arvaikheer,
YEK,Arviat,CA,YEK,Arviat,
AJR,Arvidsjaur,SE,AJR,Arvidsjaur,
AKJ,Asahikawa,JP,AKJ,Asahikawa,
YEH,Asaloyeh,IR,YEH,Asaloyeh,
APP,Asapa,PG,APP,Asapa,
AAU,Asau,WS,AAU,Asau,
YAF,Asbestos Hill,CA,YAF,Asbestos Hill,
ARX,Asbury Park,US,ARX,Asbury Park,
ASC,Ascension,BO,ASC,Ascension,
ACO,Ascona,CH,ACO,Ascona,
AEK,Aseki,PG,AEK,Aseki,
ALK,Asela,ET,ALK,Asela,
ASG,Ashburton,NZ,ASG,Ashburton,
YZA,Ashcroft,CA,YZA,Ashcroft,
AVL,Asheville,US,AVL,Asheville (Regional),Regional
ASB,Ashgabat,TM,ASB,Ashgabat,
HTS,Ashland,US,HTS,Ashland,
AHM,Ashland,US,AHM,Ashland (Sumner Parker Field),Sumner Parker Field
ASX,Ashland,US,ASX,Ashland,
ASY,Ashley,US,ASY,Ashley,
ASZ,Asirim,PG,ASZ,Asirim,
ASM,Asmara,ER,ASM,Asmara (International),International
ASO,Asosa,ET,ASO,Asosa,
ASE,Aspen,US,ASE,Aspen,
ASA,Assab,ER,ASA,Assab,
AIF,Assis,BR,AIF,Assis,
ATZ,Assiut,EG,ATZ,Assiut,
TSE,Astana,KZ,TSE,Astana,
AST,Astoria,US,AST,Astoria,
ASF,Astrakhan,RU,ASF,Astrakhan,
AKQ,Astraksetra,ID,AKQ,Astraksetra (Gunung Batin),Gunung Batin
OVD,Asturias,ES,OVD,Asturias,
JTY,Astypalaia Island,GR,JTY,Astypalaia Island (Astypalaia),Astypalaia
ASU,Asuncion,PY,ASU,Asuncion (Silvio Pettirossi),Silvio Pettirossi
ASW,Aswan,EG,ASW,Aswan,
ABU,Atambua,ID,ABU,Atambua,
AXK,Ataq,YE,AXK,Ataq,
ATR,Atar,MR,ATR,Atar (Mouakchott),Mouakchott
AUT,Atauro,ID,AUT,Atauro,
ATB,Atbara,SD,ATB,Atbara,
ATX,Atbasar,KZ,ATX,Atbasar,
AHN,Athens,US,AHN,Athens,
ATH,Athens,GR,ATH,Athens (Eleftherios Venizelos),Eleftherios Venizelos
ATH,Athens,GR,HEW,Athens (Hellinikon),Hellinikon
ATO,Athens,US,ATO,Athens (Ohio University),Ohio University
MMI,Athens,US,MMI,Athens (McMinn County),McMinn County
ATV,Ati,TD,ATV,Ati,
YIB,Atikokan,CA,YIB,Atikokan,
AIU,Atiu Island,CK,AIU,Atiu Island,
AKB,Atka,US,AKB,Atka,
ABP,Atkamba,PG,ABP,Atkamba,
ATL,Atlanta,US,JAO,Atlanta (Beaver Ruin),Beaver Ruin
ATL,Atlanta,US,PDK,Atlanta (De Kalb/Peachtree),De Kalb/Peachtree
ATL,Atlanta,US,FTY,Atlanta (Fulton County),Fulton County
ATL,Atlanta,US,JGL,Atlanta (Galleria),Galleria
ATL,Atlanta,US,ATL,Atlanta (Hartsfield-Jackson ATL),Hartsfield-Jackson ATL
ATL,Atlanta,US,JAJ,Atlanta (Perimeter Mall),Perimeter Mall
ATL,Atlanta,US,JAE,Atlanta (Technology Park),Technology Park
AIO,Atlantic,US,AIO,Atlantic (Municipal),Municipal
AIY,Atlantic City,US,AIY,Atlantic City (Bader Field),Bader Field
AIY,Atlantic City,US,ACY,Atlantic City (International),International
ATT,Atmautluak,US,ATT,Atmautluak,
ATD,Atoifi,SB,ATD,Atoifi,
ATK,Atqasuk,US,ATK,Atqasuk,
NJA,Atsugi,JP,NJA,Atsugi (NAS),NAS
YAT,Attawapiskat,CA,YAT,Attawapiskat,
ATG,Attock,PK,ATG,Attock,
AOU,Attopeu,LA,AOU,Attopeu,
ATU,Attu Island,US,ATU,Attu Island (Casco Cove),Casco Cove
AUQ,Atuona,PF,AUQ,Atuona,
GUW,Atyrau,KZ,GUW,Atyrau,
AUI,Aua Island,PG,AUI,Aua Island,
OBS,Aubenas,FR,OBS,Aubenas (Vals-Lanas),Vals-Lanas
